datetime,pct
2016-01-01,0.6877917681469323
2016-01-02,0.7394381043201196
2016-01-03,0.7405015914056796
2016-01-04,0.7309120962175111
2016-01-05,0.7216871659948093
2016-01-06,0.7175970688765048
2016-01-07,0.7595948150685927
2016-01-08,0.7600807769608271
2016-01-09,0.7650994208688424
2016-01-10,0.7118103384906468
2016-01-11,0.7417935977790762
2016-01-12,0.7357240480411237
2016-01-13,0.7202659471437121
2016-01-14,0.6992315528789628
2016-01-15,0.7906006242177951
2016-01-16,0.7911137382326526
2016-01-17,0.7744683399247269
2016-01-18,0.7415283658975018
2016-01-19,0.6819619610671991
2016-01-20,0.6819288744617206
2016-01-21,0.7319928936385447
2016-01-22,0.6981317222041843
2016-01-23,0.7298459857856135
2016-01-24,0.7183287443383604
2016-01-25,0.6600706608891567
2016-01-26,0.6676462613791136
2016-01-27,0.7432727718565791
2016-01-28,0.7598277085304326
2016-01-29,0.737489355905441
2016-01-30,0.7539257735983592
2016-01-31,0.7646365842042915
2016-02-01,0.7142534818287589
2016-02-02,0.7009088592023736
2016-02-03,0.6717724208422217
2016-02-05,0.6648332253422768
2016-02-06,0.7077270037578155
2016-02-07,0.7173488566415902
2016-02-08,0.7348272338167638
2016-02-09,0.7180344071335929
2016-02-10,0.6387864301951838
2016-02-11,0.6603822385281892
2016-02-12,0.7027282290291843
2016-02-13,0.6946041243408922
2016-02-14,0.6430123081675049
2016-02-15,0.7498347919379815
2016-02-16,0.6826826813986161
2016-02-17,0.6704099047465305
2016-02-18,0.771572494633366
2016-02-19,0.7395688919873696
2016-02-20,0.7205225107688326
2016-02-21,0.7153086294673388
2016-02-22,0.7238547116680847
2016-02-23,0.6866611508839295
2016-02-24,0.7034369911796877
2016-02-25,0.7243434016942226
2016-02-26,0.7340961322377353
2016-02-27,0.7579594006173723
2016-02-28,0.7259895537523866
2016-02-29,0.7842823202179768
2016-03-01,0.7738760386804369
2016-03-02,0.803009991297956
2016-03-03,0.73939707291318
2016-03-04,0.6752662588231602
2016-03-05,0.744414836325148
2016-03-06,0.7723030498640918
2016-03-07,0.7261966809592367
2016-03-08,0.7412337532678273
2016-03-09,0.5408957807712289
2016-03-10,0.6778364423290437
2016-03-11,0.7304545509736574
2016-03-12,0.6946237795173236
2016-03-13,0.7578881310319228
2016-03-14,0.6820112438063469
2016-03-15,0.6584337168546994
2016-03-16,0.5930810386599779
2016-03-17,0.6276488586309139
2016-03-18,0.6359170008720114
2016-03-19,0.675246805330492
2016-03-20,0.7441364513122819
2016-03-21,0.7275896096172547
2016-03-22,0.771966895169778
2016-03-23,0.7455736085443918
2016-03-24,0.7810611821164475
2016-03-25,0.6889762242435824
2016-03-26,0.8019834868105816
2016-03-27,0.7693143088538698
2016-03-28,0.7243953165559534
2016-03-29,0.7295170482140897
2016-03-30,0.7078626797605859
2016-03-31,0.7346007436618456
2016-04-01,0.7791935464165358
2016-04-02,0.7912412163684566
2016-04-03,0.746919724962529
2016-04-04,0.7690723144549072
2016-04-05,0.7783485488637256
2016-04-06,0.7799965615439889
2016-04-07,0.7394510668891039
2016-04-08,0.7489166926138828
2016-04-09,0.8334488840299229
2016-04-10,0.8028282326025424
2016-04-11,0.7846791476791326
2016-04-12,0.7687809664823932
2016-04-13,0.7464025321109773
2016-04-14,0.7924027832294284
2016-04-15,0.762465805467572
2016-04-16,0.7999944401859242
2016-04-17,0.7601995319012328
2016-04-18,0.7530609679164354
2016-04-19,0.8080589078008624
2016-04-20,0.758465620631223
2016-04-21,0.7976428833682658
2016-04-22,0.7781830161629428
2016-04-23,0.8018223174024661
2016-04-24,0.7987878530563722
2016-04-25,0.7602356371674615
2016-04-26,0.7614605211863279
2016-04-27,0.7319365366789102
2016-04-28,0.8071495419107142
2016-04-29,0.8041238766254213
2016-04-30,0.7602925812324359
2016-05-01,0.7742920089292228
2016-05-02,0.7699048069202452
2016-05-03,0.7867660115068573
2016-05-04,0.8540292605105775
2016-05-05,0.7815504871986005
2016-05-06,0.7719636786983168
2016-05-07,0.8394408682062099
2016-05-08,0.7849094773723846
2016-05-09,0.7576497333660019
2016-05-10,0.8126110024715401
2016-05-11,0.8051432149777609
2016-05-12,0.7107437126557892
2016-05-13,0.6957178617967528
2016-05-14,0.780642829776092
2016-05-15,0.8119903264647128
2016-05-16,0.7954448552879975
2016-05-17,0.772298707425344
2016-05-18,0.7672709755975349
2016-05-19,0.7689004119682368
2016-05-20,0.7878973843021784
2016-05-21,0.7687690795688917
2016-05-22,0.7540740684738356
2016-05-23,0.7583720153595976
2016-05-24,0.7860517676399206
2016-05-25,0.7917963170465994
2016-05-26,0.7399589430790308
2016-05-27,0.7920657257045185
2016-05-28,0.7723736259026721
2016-05-29,0.7745938961906883
2016-05-30,0.7889089695055183
2016-05-31,0.7714298067849052
2016-06-01,0.7353857948773532
2016-06-02,0.7834445823470726
2016-06-03,0.7491564865781777
2016-06-04,0.7559768115192163
2016-06-05,0.7291915402924815
2016-06-06,0.7774421755247432
2016-06-07,0.8065116260095351
2016-06-08,0.7582047566213679
2016-06-09,0.7997416116205045
2016-06-10,0.8371384048794885
2016-06-11,0.7871856027299973
2016-06-12,0.7607574296095362
2016-06-13,0.7713047703414184
2016-06-14,0.7846336495855288
2016-06-15,0.8002329455784274
2016-06-16,0.7813988329692179
2016-06-17,0.8016831846343938
2016-06-18,0.7466314598199028
2016-06-19,0.755360597497919
2016-06-20,0.7211657964156177
2016-06-21,0.7309457252950913
2016-06-22,0.7161799693237154
2016-06-23,0.72066689841782
2016-06-24,0.7485682665199627
