datetime,precip,precipcover,preciptype,snow,snowdepth
2016-05-05,0.126,29.17,rain,0.0,0.0
2016-05-06,0.081,16.67,rain,0.0,0.0
2016-05-07,0.024,8.33,rain,0.0,0.0
2016-05-08,0.021,8.33,rain,0.0,0.0
2016-05-09,0.0,0.0,,0.0,0.0
2016-05-10,0.0,0.0,,0.0,0.0
2016-05-11,0.0,0.0,,0.0,0.0
2016-05-12,0.0,0.0,,0.0,0.0
2016-05-13,0.089,16.67,rain,0.0,0.0
2016-05-14,0.024,12.5,rain,0.0,0.0
2016-05-15,0.0,0.0,,0.0,0.0
2016-05-16,0.0,0.0,,0.0,0.0
2016-05-17,0.0,0.0,,0.0,0.0
2016-05-18,0.0,0.0,,0.0,0.0
2016-05-19,0.0,0.0,,0.0,0.0
2016-05-20,0.023,4.17,rain,0.0,0.0
2016-05-21,0.0,0.0,,0.0,0.0
2016-05-22,0.0,0.0,,0.0,0.0
2016-05-23,0.0,0.0,,0.0,0.0
2016-05-24,0.247,20.83,rain,0.0,0.0
2016-05-25,0.0,0.0,,0.0,0.0
2016-05-26,0.0,0.0,,0.0,0.0
2016-05-27,0.0,0.0,,0.0,0.0
2016-05-28,0.0,0.0,,0.0,0.0
2016-05-29,0.0,0.0,,0.0,0.0
2016-05-30,1.128,45.83,rain,0.0,0.0
2016-05-31,0.0,0.0,,0.0,0.0
2016-06-01,0.0,0.0,,0.0,0.0
2016-06-02,0.0,0.0,,0.0,0.0
2016-06-03,0.0,0.0,,0.0,0.0
2016-06-04,0.0,0.0,,0.0,0.0
2016-06-05,0.89,45.83,rain,0.0,0.0
2016-06-06,0.0,0.0,,0.0,0.0
2016-06-07,0.141,8.33,rain,0.0,0.0
2016-06-08,0.004,4.17,rain,0.0,0.0
2016-06-09,0.0,0.0,,0.0,0.0
2016-06-10,0.0,0.0,,0.0,0.0
2016-06-11,0.018,4.17,rain,0.0,0.0
2016-06-12,0.0,0.0,,0.0,0.0
2016-06-13,0.0,0.0,,0.0,0.0
2016-06-14,0.0,0.0,,0.0,0.0
2016-06-15,0.0,0.0,,0.0,0.0
2016-06-16,0.0,0.0,,0.0,0.0
2016-06-17,0.001,4.17,rain,0.0,0.0
2016-06-18,0.106,4.17,rain,0.0,0.0
2016-06-19,0.0,0.0,,0.0,0.0
2016-06-20,0.0,0.0,,0.0,0.0
2016-06-21,0.082,8.33,rain,0.0,0.0
2016-06-22,0.003,4.17,rain,0.0,0.0
2016-06-23,0.0,0.0,,0.0,0.0
2016-06-24,0.0,0.0,,0.0,0.0
2016-06-25,0.0,0.0,,0.0,0.0
2016-06-26,0.0,0.0,,0.0,0.0
2016-06-27,0.0,0.0,,0.0,0.0
2016-06-28,0.077,4.17,rain,0.0,0.0
2016-06-29,0.051,20.83,rain,0.0,0.0
2016-06-30,0.0,0.0,,0.0,0.0
2016-07-01,0.209,12.5,rain,0.0,0.0
2016-07-02,0.0,0.0,,0.0,0.0
2016-07-03,0.0,0.0,,0.0,0.0
2016-07-04,0.0,0.0,,0.0,0.0
2016-07-05,0.24,25.0,rain,0.0,0.0
2016-07-06,0.0,0.0,,0.0,0.0
2016-07-07,0.0,0.0,,0.0,0.0
2016-07-08,0.023,8.33,rain,0.0,0.0
2016-07-09,0.058,8.33,rain,0.0,0.0
2016-07-10,0.137,20.83,rain,0.0,0.0
2016-07-11,0.0,0.0,,0.0,0.0
2016-07-12,0.0,0.0,,0.0,0.0
2016-07-13,0.0,0.0,,0.0,0.0
2016-07-14,0.001,4.17,rain,0.0,0.0
2016-07-15,0.0,0.0,,0.0,0.0
2016-07-16,0.0,0.0,,0.0,0.0
2016-07-17,0.0,0.0,,0.0,0.0
2016-07-18,0.011,4.17,rain,0.0,0.0
2016-07-19,0.0,0.0,,0.0,0.0
2016-07-20,0.0,0.0,,0.0,0.0
2016-07-21,0.0,0.0,,0.0,0.0
2016-07-22,0.001,4.17,rain,0.0,0.0
2016-07-23,0.0,0.0,,0.0,0.0
2016-07-24,0.0,0.0,,0.0,0.0
2016-07-25,0.0,0.0,,0.0,0.0
2016-07-26,0.0,0.0,,0.0,0.0
2016-07-27,0.0,0.0,,0.0,0.0
2016-07-28,0.0,0.0,,0.0,0.0
2016-07-29,0.071,25.0,rain,0.0,0.0
2016-07-30,0.021,4.17,rain,0.0,0.0
2016-07-31,0.209,29.17,rain,0.0,0.0
2016-08-01,0.002,4.17,rain,0.0,0.0
2016-08-02,0.052,29.17,rain,0.0,0.0
2016-08-03,0.0,0.0,,0.0,0.0
2016-08-04,0.0,0.0,,0.0,0.0
2016-08-05,0.0,0.0,,0.0,0.0
2016-08-06,0.018,4.17,rain,0.0,0.0
2016-08-07,0.0,0.0,,0.0,0.0
2016-08-08,0.0,0.0,,0.0,0.0
2016-08-09,0.0,0.0,,0.0,0.0
2016-08-10,0.238,25.0,rain,0.0,0.0
2016-08-11,0.0,0.0,,0.0,0.0
2016-08-12,0.011,4.17,rain,0.0,0.0
2016-08-13,0.028,4.17,rain,0.0,0.0
2016-08-14,0.514,29.17,rain,0.0,0.0
2016-08-15,0.0,0.0,,0.0,0.0
2016-08-16,0.004,4.17,rain,0.0,0.0
2016-08-17,0.0,0.0,,0.0,0.0
2016-08-18,0.0,0.0,,0.0,0.0
2016-08-19,0.0,0.0,,0.0,0.0
2016-08-20,0.0,0.0,,0.0,0.0
2016-08-21,0.0,0.0,,0.0,0.0
2016-08-22,0.866,20.83,rain,0.0,0.0
2016-08-23,0.0,0.0,,0.0,0.0
2016-08-24,0.0,0.0,,0.0,0.0
2016-08-25,0.0,0.0,,0.0,0.0
2016-08-26,0.021,4.17,rain,0.0,0.0
2016-08-27,0.0,0.0,,0.0,0.0
2016-08-28,0.0,0.0,,0.0,0.0
2016-08-29,0.0,0.0,,0.0,0.0
2016-08-30,0.0,0.0,,0.0,0.0
2016-08-31,0.0,0.0,,0.0,0.0
2016-09-01,0.034,25.0,rain,0.0,0.0
2016-09-02,0.0,0.0,,0.0,0.0
2016-09-03,0.0,0.0,,0.0,0.0
2016-09-04,0.0,0.0,,0.0,0.0
2016-09-05,0.094,25.0,rain,0.0,0.0
