service_date,peak_offpeak_ind,pct
2024/04/06 04:00:00+00,OFF_PEAK,0.7388866410438324
2024/04/05 04:00:00+00,OFF_PEAK,0.7495037275106099
2024/04/05 04:00:00+00,PEAK,0.7937952198110775
2024/04/04 04:00:00+00,OFF_PEAK,0.7499219871311461
2024/04/04 04:00:00+00,PEAK,0.7637535820893182
2024/04/03 04:00:00+00,PEAK,0.7364016194840417
2024/04/03 04:00:00+00,OFF_PEAK,0.7748655431552507
2024/04/02 04:00:00+00,PEAK,0.7278552395004565
2024/04/02 04:00:00+00,OFF_PEAK,0.7366317321277902
2024/03/31 04:00:00+00,OFF_PEAK,0.8206296272347163
2024/04/01 04:00:00+00,PEAK,0.766995528940859
2024/04/01 04:00:00+00,OFF_PEAK,0.7979876931118761
2024/03/30 04:00:00+00,OFF_PEAK,0.7376744584265027
2024/03/29 04:00:00+00,OFF_PEAK,0.7732820704767865
2024/03/28 04:00:00+00,PEAK,0.7776426750413342
2024/03/29 04:00:00+00,PEAK,0.7796206409885623
2024/03/28 04:00:00+00,OFF_PEAK,0.8109389201650773
2024/03/27 04:00:00+00,OFF_PEAK,0.78449813152372
2024/03/27 04:00:00+00,PEAK,0.7664784089679589
2024/03/26 04:00:00+00,OFF_PEAK,0.7774249542063152
2024/03/26 04:00:00+00,PEAK,0.7477863456560676
2024/03/25 04:00:00+00,PEAK,0.7650979654154982
2024/03/25 04:00:00+00,OFF_PEAK,0.775705618152734
2024/03/24 04:00:00+00,OFF_PEAK,0.8238104508078913
2024/03/23 04:00:00+00,OFF_PEAK,0.7618716616638173
2024/03/22 04:00:00+00,OFF_PEAK,0.694310959878472
2024/03/22 04:00:00+00,PEAK,0.7555533711502541
2024/03/21 04:00:00+00,OFF_PEAK,0.7594148213409158
2024/03/21 04:00:00+00,PEAK,0.8470821813969289
2024/03/20 04:00:00+00,PEAK,0.7765533526686799
2024/03/20 04:00:00+00,OFF_PEAK,0.7673902281133596
2024/03/19 04:00:00+00,OFF_PEAK,0.7498782009168414
2024/03/19 04:00:00+00,PEAK,0.8054058808279383
2024/03/17 04:00:00+00,OFF_PEAK,0.8009296577064394
2024/03/18 04:00:00+00,OFF_PEAK,0.7094463140032167
2024/03/18 04:00:00+00,PEAK,0.6141773883081213
2024/03/15 04:00:00+00,OFF_PEAK,0.7659139446952216
2024/03/16 04:00:00+00,OFF_PEAK,0.7863477337787654
2024/03/15 04:00:00+00,PEAK,0.7778648344231712
2024/03/14 04:00:00+00,OFF_PEAK,0.7945175654862311
2024/03/14 04:00:00+00,PEAK,0.7846219175338005
2024/03/13 04:00:00+00,OFF_PEAK,0.786135127602635
2024/03/13 04:00:00+00,PEAK,0.8132997548924492
2024/03/12 04:00:00+00,OFF_PEAK,0.7766954359313021
2024/03/12 04:00:00+00,PEAK,0.7566006003776894
2024/03/11 04:00:00+00,OFF_PEAK,0.8079225854920875
2024/03/11 04:00:00+00,PEAK,0.7803083718152933
2024/03/09 05:00:00+00,OFF_PEAK,0.7471684078186109
2024/03/10 05:00:00+00,OFF_PEAK,0.8227238204857191
2024/03/08 05:00:00+00,OFF_PEAK,0.7757239613154749
2024/03/08 05:00:00+00,PEAK,0.770940917780278
2024/03/07 05:00:00+00,OFF_PEAK,0.7715807217060365
2024/03/07 05:00:00+00,PEAK,0.7416436452174966
2024/03/06 05:00:00+00,OFF_PEAK,0.8087504707784283
2024/03/05 05:00:00+00,PEAK,0.785327940689739
2024/03/05 05:00:00+00,OFF_PEAK,0.813636256595067
2024/03/06 05:00:00+00,PEAK,0.7778853949949812
2024/03/04 05:00:00+00,OFF_PEAK,0.7649721545704761
2024/03/04 05:00:00+00,PEAK,0.7500901058420654
2024/03/03 05:00:00+00,OFF_PEAK,0.7325044841851202
2024/03/02 05:00:00+00,OFF_PEAK,0.849321527255978
2024/03/01 05:00:00+00,OFF_PEAK,0.7671545522346205
2024/03/01 05:00:00+00,PEAK,0.770214166165716
2024/02/29 05:00:00+00,OFF_PEAK,0.7946254172705092
2024/02/28 05:00:00+00,OFF_PEAK,0.7678537361475216
2024/02/29 05:00:00+00,PEAK,0.7905645725585523
2024/02/28 05:00:00+00,PEAK,0.7551243032393894
